r (Angstrom),"g(r) O-Cl-, Glycine (G)","g(r) O-OE1, Glycine (G)","g(r) O-Cl-, Serine (S)","g(r) O-OE1, Serine (S)","g(r) O-Cl-, Arginine (R)","g(r) O-OE1, Arginine (R)","g(r) O-Cl-, Lysine (K)","g(r) O-OE1, Lysine (K)","g(r) O-Cl-, Aspartic acid (D)","g(r) O-OE1, Aspartic acid (D)","g(r) O-Cl-, Glutamine (Q)","g(r) O-OE1, Glutamine (Q)","g(r) O-Cl-, Tyrosine (Y)","g(r) O-OE1, Tyrosine (Y)","g(r) O-Cl-, Phenylalanine (F)","g(r) O-OE1, Phenylalanine (F)"
14.100000000000003,1.0153298828518753,1.0066912619864623,1.0195607819135006,1.0024139850385965,1.043174199862646,1.0710207374329697,1.0437733758994334,1.0913670614550843,0.992449652467635,0.9612539912989457,0.9935720218493566,1.000247548943462,1.0090253995982388,1.0157203824751555,1.0094814591538204,0.9866215844464126
14.300000000000002,0.9945493277701114,1.0124364286022716,1.004426224079139,0.9953903679803762,1.0401346158654725,1.0821073909965722,1.034036633439319,1.0796715375427213,0.9967679082812042,0.9597003824668854,1.0117833162524683,0.9964407815160148,1.0135008833086045,1.0038301639399876,1.0189196631814985,0.9959634673819704
14.500000000000002,1.0173456967190333,0.9932358022154075,1.0012459002766785,1.006350115653649,1.0232187229926983,1.076083825650928,1.0432789646586018,1.06733618767811,0.9883642775247468,0.9597287580156069,1.0097720972513418,1.0002647086397478,1.0069115218263591,1.0071959548761011,1.0069324384485436,0.9878451599945498
14.700000000000003,1.0036069393423601,1.0093072862796664,1.007905389395603,1.0088479812041313,1.0333850689125403,1.0653577801405394,1.0466398821076939,1.0748077794300661,0.9940311756621394,0.9615339319025533,1.0038950353069775,1.0036158251516754,1.0085450839274195,1.0138836205742554,1.0137917680018198,0.997832870518502
14.900000000000002,0.9987640375280897,1.0002517005642386,1.010121337150405,1.0135756930468816,1.0374404804266004,1.0677313841273004,1.0457532273003798,1.0753821327784185,0.9817593943189904,0.9693960259974279,0.9863349437698519,1.001005014181468,1.0133429789760866,1.0032228521796929,1.0076051628296367,0.9963085980601162
15.100000000000003,0.9926119817499384,0.9982550427771624,0.9994905942520529,0.9997634796408205,1.0250642134969312,1.0713067660327331,1.0213433321402574,1.0746290516939787,1.0072877585083515,0.9707071872428734,1.0071831503102788,1.0101846396726764,1.0058228692280096,1.012005410056437,1.0072219552354553,0.9935757607378368
15.300000000000002,0.9945285902069745,1.0125108576794015,1.0022478642009975,0.998196856992912,1.0283122186421614,1.0674627873240745,1.0326457204766368,1.0517489395771518,1.0041041455715254,0.9641488070768947,1.0155777943915256,1.0134482494314343,1.0191816150027129,1.014802711974061,1.0042602965498804,0.9946235441901105
15.500000000000002,1.00812613568072,1.0105432041462385,1.0067210631583081,0.9900321138435471,1.022625616779652,1.0584713471764389,1.0252986029893256,1.0534927571018913,1.0084188184777854,0.963006373729548,1.02675375537898,0.9983646995114268,1.0035454468931888,1.01012445926672,1.0192869228734516,1.0083451320207037
15.700000000000003,1.003618189902361,1.005262423826556,1.00723569448928,1.0034303487733371,1.0296920562283103,1.0509983347593477,1.0196986720176924,1.0329837369940833,0.9969833340873265,0.9787592077289116,1.0056441995611987,0.9990922160421019,1.0067354227192435,1.0022242554758014,1.0249818946763112,1.004127721466296
15.900000000000002,1.0102767623910425,1.0069021019577293,1.0102324550767727,1.006264851117906,1.0103887120057276,1.0455454447253565,1.0287963686860422,1.0401288101243784,0.9968099547752056,0.9725649630896022,0.9965279071047353,1.0120351294753054,1.0091982654665193,1.0207390204735949,1.0186073054702067,1.013074939258852
