r (Angstrom),"g(r) CA-Cl-, Glycine (G)","g(r) CA-OE1, Glycine (G)","g(r) CA-Cl-, Serine (S)","g(r) CA-OE1, Serine (S)","g(r) CA-Cl-, Arginine (R)","g(r) CA-OE1, Arginine (R)","g(r) CA-Cl-, Lysine (K)","g(r) CA-OE1, Lysine (K)","g(r) CA-Cl-, Aspartic acid (D)","g(r) CA-OE1, Aspartic acid (D)","g(r) CA-Cl-, Glutamine (Q)","g(r) CA-OE1, Glutamine (Q)","g(r) CA-Cl-, Tyrosine (Y)","g(r) CA-OE1, Tyrosine (Y)","g(r) CA-Cl-, Phenylalanine (F)","g(r) CA-OE1, Phenylalanine (F)"
14.100000000000003,1.0269357104740493,0.9975945959204364,1.013441436199023,0.9940031685502106,1.0245591569772068,1.068594999921102,1.0284052151083503,1.0621079637363942,0.9824206402923331,0.9433731484007492,1.019810460498123,1.0034387474341449,1.0060575996352958,1.0163333626289615,1.0044978616917977,0.9867407820926574
14.300000000000002,1.0043011198981866,0.993747068801226,1.000563748888352,0.9950864713951315,1.023006861535134,1.0726842751411028,1.0344005054538314,1.0556377405807869,0.9944362679336651,0.9550208443207506,1.000315925865361,0.9958504298420754,1.0173060182746614,0.9921873971283223,1.0201445699750804,0.9795225177797255
14.500000000000002,0.9986171841649878,0.9801499870680948,1.0151437885135324,0.9964266262264057,1.0262304233656463,1.0587581768744094,1.0338863609922448,1.048152810238978,0.9829415634810791,0.9477306176206615,1.00130329213515,1.011918532975764,1.0178272756810225,1.015566583868344,1.0088405410366579,1.004000099239525
14.700000000000003,0.9973376297085107,1.0065607372433505,1.0099361225088614,0.9986364995219577,1.0312591000244948,1.0642888806309347,1.0445128023045847,1.0422814598012167,0.985849246224032,0.9544509811988859,0.995597926038779,0.9949757893403213,1.0214306960282262,1.0042750318786133,1.0010215385467864,0.9963630403109612
14.900000000000002,1.0036196375671846,0.9969856676111499,1.0139629568531556,0.996472176254964,1.0120979260070273,1.0497757760351885,1.0323257821409786,1.0108825731276219,0.9913613783653934,0.9527181600778752,0.9941863550620533,1.0010553096567412,0.9997308139530177,1.0187659252534003,0.9894707330699737,0.9902514763145591
15.100000000000003,1.0218184434537556,1.0023158835245118,1.0152219670968887,1.0048759477026736,1.016894030590002,1.0509613362114116,1.0285309507329785,1.0321213446726132,0.9858951205292092,0.9681973016303898,1.0196125956226352,1.0014384670607976,1.0192415295679957,1.0017310803195236,0.9991344866366548,1.0049163802957648
15.300000000000002,0.9922245675667387,1.0076780105773884,1.0087303099502916,1.0088764414171976,1.011811449425686,1.047341416192697,1.0305775705225042,1.0320471742980977,1.0037285806343406,0.9856614478614747,0.9982196637919767,1.010129885532298,1.000914400602277,1.0203978634221524,1.0119769681668327,1.0114660084916245
15.500000000000002,1.0211229881578627,1.013023180074338,1.0036419157114653,0.9944580185083479,1.0096009198152036,1.0512388094078713,1.0223519821419462,1.023333507076304,1.0122829184735331,0.9742223783822516,1.0108848764530158,1.0102457471630377,0.9920588914879966,1.0041217302017136,1.0146920635635046,0.999138218357007
15.700000000000003,1.000565062174602,1.000493583175492,1.0093719841123323,0.993108144700451,1.0054062423121966,1.0421808617628554,1.015366829518839,1.0269826227543506,1.001359241521274,0.9834263152026256,1.0000491929821114,0.9965455999813216,0.9919267561771983,1.022315243452979,1.0186714601412068,0.993250741122597
15.900000000000002,0.9949989476783797,1.0115153079355317,1.0060157815441229,1.003580384554365,1.0146122492322351,1.0459331654786368,1.0209846307583899,1.0275807026922656,0.9990413978044002,0.9929110651959605,1.008729950942255,1.0023318385805078,0.9990791382052234,1.011295140171707,1.0160781184143857,0.9936210458831458
16.100000000000005,0.9908968540078797,1.0082136145835077,1.0123827834070096,1.003367647057353,1.0190782559352245,1.0258703697616138,1.0190162575146986,1.02784255369751,0.9985126853541735,0.9815998734341995,1.0002731623746122,1.008838713461355,1.000490921919004,1.0194925604493354,1.0165891908648002,1.0109978205464958
16.300000000000004,1.0132702705352268,1.011246130980815,1.0087910500317026,1.008285087995336,1.0192338964115577,1.0286588678528947,1.0191743315409834,1.0164258537661763,1.0028047285341575,0.9788088691386805,1.009765119477324,1.0031056799189002,1.0114931927252329,1.0100509555725554,1.0098756465402254,1.0068639537491024
16.500000000000004,1.0051158558937847,0.9966454105732052,1.0124449932439712,1.0059592564733884,1.031535296902914,1.0349408231849915,1.0175647771663778,1.0144013864345522,0.9973408278697995,0.9821381881275029,1.0092478592846887,0.9965727518716742,0.9955981103713163,1.0095530941244168,0.9957696915192633,1.0171514093016576
16.700000000000006,0.992292986878182,0.9917920063653309,1.0063725733394908,1.0103045962694712,1.0056421316529778,1.0229526993909939,1.0140494346845224,1.0059761733753196,0.9994049938147114,0.9910806844643292,1.0127378467369543,1.0109675367553885,1.0129972928397724,1.0156837406684107,1.0046221670897948,1.019652802866895
16.900000000000006,1.0005602030045535,1.0139651648143182,0.9991593227093413,1.003017085891349,1.0055071586786601,1.0270122616571216,1.0150638803744998,1.0015306236187083,1.0160154556191583,0.9895159869254608,0.9986567650367633,1.0085510770327888,1.011645272156335,1.0238557786019546,1.003777298628855,1.0162323878657862
17.100000000000005,0.9966357231021526,1.0061583338957913,1.004917267443147,0.9987203072272419,1.006209687776504,1.0316305353705615,1.0129966661675534,1.0058996338361927,1.0099688778668094,0.9893199014081164,1.0011228481964505,1.006695462434482,1.000429563217871,1.011823485386943,0.9991352806506776,1.0153873521901127
17.300000000000004,1.0094678510589123,1.0070732910475388,0.9923759717073867,0.9937506779843526,1.0054876488564175,1.019418886622361,1.0180549439365594,1.0167500106770828,1.0080780861829712,0.9853883838487091,1.002536844126311,1.0208574299834305,1.0148961288836444,1.0103651629692871,1.0025303319054841,1.0119597272685237
17.500000000000004,0.9999983366239018,1.0078550082386786,1.0054495250695608,1.0015789241620185,1.0004388190427596,1.0145528778505968,1.0191720046098696,1.018038347060699,1.0126825165404714,0.9902942971163512,1.0143134060524008,1.006174212791302,1.0168525035451368,1.00252218253077,1.0057120457241122,1.015163444901677
17.700000000000006,1.0065901140345341,1.0074374469308518,1.0124385362035564,0.9957625532603228,1.0041251200227543,1.013684451793374,1.0045550713879232,1.0025563109871085,1.0092573810648733,0.9901107911635303,0.998845553881134,1.00599690603399,1.0009278701750473,1.0224465434628858,1.0208248533264423,1.0198143670895545
17.900000000000006,1.013029079215042,1.0043523054033665,1.0026617801007656,1.0023948311697528,0.9975127520430443,1.0296166653865424,1.0076630638169675,1.0125640785730432,1.0002523631942672,0.9868215492248984,1.0081557493440267,1.010459496559859,0.995752369200253,1.0204338036317564,0.9991596288291967,1.0079112496252387
