r (Angstrom),"g(r) N-Cl-, Glycine (G)","g(r) N-OE1, Glycine (G)","g(r) N-Cl-, Serine (S)","g(r) N-OE1, Serine (S)","g(r) N-Cl-, Arginine (R)","g(r) N-OE1, Arginine (R)","g(r) N-Cl-, Lysine (K)","g(r) N-OE1, Lysine (K)","g(r) N-Cl-, Aspartic acid (D)","g(r) N-OE1, Aspartic acid (D)","g(r) N-Cl-, Glutamine (Q)","g(r) N-OE1, Glutamine (Q)","g(r) N-Cl-, Tyrosine (Y)","g(r) N-OE1, Tyrosine (Y)","g(r) N-Cl-, Phenylalanine (F)","g(r) N-OE1, Phenylalanine (F)"
3.3000000000000007,0.067274324617228,0.1804747033263603,0.1804747033263603,0.2304314666433367,0.2304314666433367,0.0948738859837287,0.0948738859837287,0.067274324617228,0.067274324617228,0.06570901851307835,0.06570901851307835,0.04456128160813039,0.04456128160813039,0.027834582050338532,0.027834582050338532,0.03454360945312955
3.500000000000001,0.05784444661334014,0.14654960139110382,0.14654960139110382,0.21180427679143654,0.21180427679143654,0.06573631987926468,0.06573631987926468,0.05784444661334014,0.05784444661334014,0.054458287447118205,0.054458287447118205,0.04061291385407001,0.04061291385407001,0.031682721547039744,0.031682721547039744,0.030717905654641
3.7000000000000006,0.08951199949698313,0.17279928022162042,0.17279928022162042,0.19130114309931176,0.19130114309931176,0.057928845700407294,0.057928845700407294,0.08951199949698313,0.08951199949698313,0.044299251263415954,0.044299251263415954,0.04344737685232359,0.04344737685232359,0.050477023369166825,0.050477023369166825,0.033677420007702005
3.900000000000001,0.11136654830986753,0.20259731847717483,0.20259731847717483,0.21044109904700467,0.21044109904700467,0.07742055173679742,0.07742055173679742,0.11136654830986753,0.11136654830986753,0.061406931213217435,0.061406931213217435,0.05265552015619148,0.05265552015619148,0.053397880516305285,0.053397880516305285,0.051060543588153186
4.1000000000000005,0.1371927146608044,0.2829234893969325,0.2829234893969325,0.2517200874483221,0.2517200874483221,0.11154775754504077,0.11154775754504077,0.1371927146608044,0.1371927146608044,0.07865767909700244,0.07865767909700244,0.07363336145532712,0.07363336145532712,0.09016900935077926,0.09016900935077926,0.06641974621569136
4.300000000000001,0.22673061622936191,0.37138865175731545,0.37138865175731545,0.36329021723442,0.36329021723442,0.18726378561097257,0.18726378561097257,0.22673061622936191,0.22673061622936191,0.1181015023703248,0.1181015023703248,0.1083063735669004,0.1083063735669004,0.10953795024757756,0.10953795024757756,0.10369642226651765
4.500000000000001,0.30968404079362155,0.43978852347628317,0.43978852347628317,0.4802178046318164,0.4802178046318164,0.29862048798075225,0.29862048798075225,0.30968404079362155,0.30968404079362155,0.2096706762339874,0.2096706762339874,0.16541203636885887,0.16541203636885887,0.17368787920935827,0.17368787920935827,0.1444317801273717
4.7,0.4334357357779263,0.5124078387623227,0.5124078387623227,0.6421778542560415,0.6421778542560415,0.4130312471436175,0.4130312471436175,0.4334357357779263,0.4334357357779263,0.281178444601409,0.281178444601409,0.2114829818828827,0.2114829818828827,0.2173946759331274,0.2173946759331274,0.1922857880917728
4.9,0.5414129087671993,0.5598740914776177,0.5598740914776177,0.6373501127414688,0.6373501127414688,0.4982194250112574,0.4982194250112574,0.5414129087671993,0.5414129087671993,0.2981173789579439,0.2981173789579439,0.2627993251167367,0.2627993251167367,0.26217060963712024,0.26217060963712024,0.24717082199677454
5.1000000000000005,0.6115629255787678,0.5513961544915118,0.5513961544915118,0.6111628663190074,0.6111628663190074,0.546309597427779,0.546309597427779,0.6115629255787678,0.6115629255787678,0.330220620901703,0.330220620901703,0.3047061426111731,0.3047061426111731,0.29143432531577507,0.29143432531577507,0.28741620482458907
5.300000000000001,0.6603533225469528,0.5878502040458713,0.5878502040458713,0.6241902933692116,0.6241902933692116,0.6192363027894356,0.6192363027894356,0.6603533225469528,0.6603533225469528,0.3632107928458716,0.3632107928458716,0.35944902495473385,0.35944902495473385,0.3471333391307436,0.3471333391307436,0.31927410911514453
